model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,0,1,0.8556,0.0,0.2797831058502197,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,1,1,0.8491,0.0,0.2797831058502197,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,2,1,0.8597,0.0,0.2797831058502197,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,3,1,0.8501,0.0,0.2797831058502197,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,4,1,0.8479,0.0,0.2797831058502197,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,630,1.7128139688793453e-06,5,1,0.85,0.0,0.2797831058502197,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,0,1,0.8595,0.0,0.24263893365859984,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,1,1,0.8588,0.0,0.24263893365859984,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,2,1,0.8589,0.0,0.24263893365859984,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,3,1,0.8562,0.0,0.24263893365859984,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,4,1,0.8569,0.0,0.24263893365859984,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,409,1.6556268747081049e-06,5,1,0.8429,0.0,0.24263893365859984,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,0,1,0.8623,0.0,0.26043862104415894,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,1,1,0.8641,0.0,0.26043862104415894,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,2,1,0.847,0.0,0.26043862104415894,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,3,1,0.8542,0.0,0.26043862104415894,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,4,1,0.8512,0.0,0.26043862104415894,0.031372517347335815
VGG13BN,gradmatch,ours,dog-bird,42,0.01,500,0.0313725,2270,1.5969494597811718e-06,5,1,0.8532,0.0,0.26043862104415894,0.031372517347335815
