model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,0,1,0.8917,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,1,1,0.8987,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,2,1,0.8932,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,833,3,1,0.8954,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,0,1,0.8993,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,1,1,0.8961,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,2,1,0.8983,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,4630,3,1,0.897,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,0,0,0.8961,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,1,1,0.8928,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,2,1,0.9015,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5118,3,0,0.897,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,0,1,0.8932,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,1,1,0.895,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,2,1,0.8908,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,5324,3,1,0.8966,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,0,0,0.8934,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,1,0,0.8987,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,2,1,0.8945,0.0,0.031372517347335815,50000,,,
ResNet20BN,sapa,ours,ours,dog-bird,42,0.01,500,0.0313725,none+aug-standard,standard,8740,3,1,0.8924,0.0,0.031372517347335815,50000,,,
