model,attack,base,sel,class_pair,seed,budget,num_poisons,epsilon,defense,aug,target_idx,victim_id,success,clean_test_acc,clean_asr,realized_linf,n_kept,n_poison_kept,frac_poison_dropped,frac_clean_dropped
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,0,1,0.9196,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,1,1,0.9149,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,2,1,0.911,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,409,3,1,0.9145,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,0,1,0.9093,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,1,1,0.9157,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,2,1,0.9122,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,630,3,1,0.9151,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,0,1,0.9134,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,1,1,0.9151,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,2,1,0.9154,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,1656,3,1,0.9131,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,0,1,0.9104,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,1,1,0.9145,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,2,1,0.914,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,2270,3,1,0.9095,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,0,0,0.9117,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,1,0,0.9051,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,2,0,0.9027,0.0,0.031372517347335815,50000,,,
VGG13BN,sapa,ours,dpp2,dog-bird,42,0.01,500,0.0313725,none+aug-randaug,randaug,9870,3,0,0.9059,0.0,0.031372517347335815,50000,,,
