model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2242,0.059234946966171265,0,0,0.8383,0.0,0.01980551891028881,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2242,0.059234946966171265,1,0,0.8417,0.0,0.01980551891028881,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2242,0.059234946966171265,2,0,0.8326,0.0,0.01980551891028881,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2242,0.059234946966171265,3,0,0.8359,0.0,0.01980551891028881,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2312,3.241505328333005e-05,0,0,0.8288,0.0,0.019965089857578278,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2312,3.241505328333005e-05,1,0,0.8398,0.0,0.019965089857578278,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2312,3.241505328333005e-05,2,1,0.8365,0.0,0.019965089857578278,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2312,3.241505328333005e-05,3,1,0.8358,0.0,0.019965089857578278,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2315,0.017049316316843033,0,0,0.8362,0.0,0.023370705544948578,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2315,0.017049316316843033,1,0,0.8334,0.0,0.023370705544948578,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2315,0.017049316316843033,2,0,0.8343,0.0,0.023370705544948578,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2315,0.017049316316843033,3,0,0.8315,0.0,0.023370705544948578,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2903,0.0003107345837634057,0,0,0.8421,0.0,0.021748660132288933,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2903,0.0003107345837634057,1,0,0.8336,0.0,0.021748660132288933,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2903,0.0003107345837634057,2,0,0.8411,0.0,0.021748660132288933,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,2903,0.0003107345837634057,3,0,0.83,0.0,0.021748660132288933,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,3495,0.042469482868909836,0,0,0.8365,0.0,0.0169602632522583,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,3495,0.042469482868909836,1,0,0.8375,0.0,0.0169602632522583,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,3495,0.042469482868909836,2,1,0.8389,0.0,0.0169602632522583,0.031372517347335815
ResNet20BN,fc,random,dog-bird,42,0.005,250,0.0313725,3495,0.042469482868909836,3,0,0.8358,0.0,0.0169602632522583,0.031372517347335815
